,Embryo,ExptDate,Cntl Counts,Expt Counts,Expt/Cntl Counts,Norm Cntl Counts,Norm Expt Counts,ID
0,Emb1,20180616,41.666666666666664,43.666666666666664,1.048,1.0775862068965518,1.1293103448275863,20180616Emb1
1,Emb2,20171016,63.0,61.333333333333336,0.9735449735449736,1.6293103448275863,1.5862068965517242,20171016Emb2
2,Emb2,20180616,20.666666666666668,20.333333333333332,0.9838709677419354,0.5344827586206897,0.5258620689655172,20180616Emb2
3,Emb3,20171016,46.333333333333336,37.0,0.7985611510791366,1.1982758620689657,0.956896551724138,20171016Emb3
4,Emb3,20180616,57.666666666666664,51.333333333333336,0.8901734104046244,1.4913793103448276,1.3275862068965518,20180616Emb3
5,Emb4,20180616,32.333333333333336,30.0,0.9278350515463917,0.8362068965517242,0.7758620689655172,20180616Emb4
6,Emb5,20171016,67.66666666666667,45.666666666666664,0.6748768472906403,1.7500000000000002,1.1810344827586208,20171016Emb5
7,Emb5,20180418,28.666666666666668,19.666666666666668,0.686046511627907,0.7413793103448276,0.5086206896551725,20180418Emb5
8,Emb5,20180616,54.333333333333336,45.333333333333336,0.8343558282208589,1.4051724137931036,1.1724137931034484,20180616Emb5
9,Emb6,20171016,40.0,45.0,1.125,1.0344827586206897,1.163793103448276,20171016Emb6
10,Emb6,20180418,14.333333333333334,16.333333333333332,1.13953488372093,0.3706896551724138,0.4224137931034483,20180418Emb6
11,Emb7,20171016,37.333333333333336,33.666666666666664,0.9017857142857142,0.9655172413793105,0.8706896551724138,20171016Emb7
12,Emb7,20180418,20.333333333333332,20.333333333333332,1.0,0.5258620689655172,0.5258620689655172,20180418Emb7
13,Emb8,20171016,47.666666666666664,34.333333333333336,0.7202797202797203,1.2327586206896552,0.8879310344827588,20171016Emb8
14,Emb9,20171016,23.333333333333332,32.0,1.3714285714285714,0.603448275862069,0.8275862068965518,20171016Emb9
15,Emb9,20180616,23.333333333333332,20.0,0.8571428571428572,0.603448275862069,0.5172413793103449,20180616Emb9
