 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,12.212,16.844,7,33,205.704,3992.000
2,Cad6B:background,9.378,17.929,9,34,168.139,3263.000
3,Cad6B:background,18.550,17.647,8,36,327.364,6353.000
4,Cad6B:Cntl,2509.359,98.135,8,7898,246256.009,4778979.000
5,Cad6B:Expt,3174.496,71.101,12,1105,225708.459,4380222.000
6,Snai2:background,12.212,149.865,106,214,1830.207,35518.000
7,Snai2:background,9.378,149.780,97,205,1404.681,27260.000
8,Snai2:background,18.550,147.131,99,213,2729.337,52967.000
9,Snai2:Cntl,2509.359,895.576,94,4335,2247321.601,43612754.000
10,Snai2:Expt,3174.496,555.055,66,2663,1762018.748,34194701.000
